We need to find a conversion rule that maps the inputs to outputs. Let me check if it's a linear factor.

25.63 -> 50.45: factor = 50.45 / 25.63
= 0 + 1 * 5045 / 2563
= 1 + 1 * 2482 / 2563
= 1.0 + 0.1 * 24820 / 2563
= 1.1 + 0.1 * 22257 / 2563
= 1.2 + 0.1 * 19694 / 2563
= 1.3 + 0.1 * 17131 / 2563
= 1.4 + 0.1 * 14568 / 2563
= 1.5 + 0.1 * 12005 / 2563
= 1.6 + 0.1 * 9442 / 2563
= 1.7 + 0.1 * 6879 / 2563
= 1.8 + 0.1 * 4316 / 2563
= 1.9 + 0.1 * 1753 / 2563
= 1.90 + 0.01 * 17530 / 2563
= 1.91 + 0.01 * 14967 / 2563
= 1.92 + 0.01 * 12404 / 2563
= 1.93 + 0.01 * 9841 / 2563
= 1.94 + 0.01 * 7278 / 2563
= 1.95 + 0.01 * 4715 / 2563
= 1.96 + 0.01 * 2152 / 2563
= 1.960 + 0.001 * 21520 / 2563
= 1.961 + 0.001 * 18957 / 2563
= 1.962 + 0.001 * 16394 / 2563
= 1.963 + 0.001 * 13831 / 2563
= 1.964 + 0.001 * 11268 / 2563
= 1.965 + 0.001 * 8705 / 2563
= 1.966 + 0.001 * 6142 / 2563
= 1.967 + 0.001 * 3579 / 2563
= 1.968 + 0.001 * 1016 / 2563
= 1.968

38.53 -> 75.84: factor = 75.84 / 38.53
= 0 + 1 * 7584 / 3853
= 1 + 1 * 3731 / 3853
= 1.0 + 0.1 * 37310 / 3853
= 1.1 + 0.1 * 33457 / 3853
= 1.2 + 0.1 * 29604 / 3853
= 1.3 + 0.1 * 25751 / 3853
= 1.4 + 0.1 * 21898 / 3853
= 1.5 + 0.1 * 18045 / 3853
= 1.6 + 0.1 * 14192 / 3853
= 1.7 + 0.1 * 10339 / 3853
= 1.8 + 0.1 * 6486 / 3853
= 1.9 + 0.1 * 2633 / 3853
= 1.90 + 0.01 * 26330 / 3853
= 1.91 + 0.01 * 22477 / 3853
= 1.92 + 0.01 * 18624 / 3853
= 1.93 + 0.01 * 14771 / 3853
= 1.94 + 0.01 * 10918 / 3853
= 1.95 + 0.01 * 7065 / 3853
= 1.96 + 0.01 * 3212 / 3853
= 1.960 + 0.001 * 32120 / 3853
= 1.961 + 0.001 * 28267 / 3853
= 1.962 + 0.001 * 24414 / 3853
= 1.963 + 0.001 * 20561 / 3853
= 1.964 + 0.001 * 16708 / 3853
= 1.965 + 0.001 * 12855 / 3853
= 1.966 + 0.001 * 9002 / 3853
= 1.967 + 0.001 * 5149 / 3853
= 1.968 + 0.001 * 1296 / 3853
= 1.968

42.88 -> 84.40: factor = 84.40 / 42.88
= 0 + 1 * 8440 / 4288
= 1 + 1 * 4152 / 4288
= 1.0 + 0.1 * 41520 / 4288
= 1.1 + 0.1 * 37232 / 4288
= 1.2 + 0.1 * 32944 / 4288
= 1.3 + 0.1 * 28656 / 4288
= 1.4 + 0.1 * 24368 / 4288
= 1.5 + 0.1 * 20080 / 4288
= 1.6 + 0.1 * 15792 / 4288
= 1.7 + 0.1 * 11504 / 4288
= 1.8 + 0.1 * 7216 / 4288
= 1.9 + 0.1 * 2928 / 4288
= 1.90 + 0.01 * 29280 / 4288
= 1.91 + 0.01 * 24992 / 4288
= 1.92 + 0.01 * 20704 / 4288
= 1.93 + 0.01 * 16416 / 4288
= 1.94 + 0.01 * 12128 / 4288
= 1.95 + 0.01 * 7840 / 4288
= 1.96 + 0.01 * 3552 / 4288
= 1.960 + 0.001 * 35520 / 4288
= 1.961 + 0.001 * 31232 / 4288
= 1.962 + 0.001 * 26944 / 4288
= 1.963 + 0.001 * 22656 / 4288
= 1.964 + 0.001 * 18368 / 4288
= 1.965 + 0.001 * 14080 / 4288
= 1.966 + 0.001 * 9792 / 4288
