We need to infer the transformation rule from the examples.
I will put my final answer inside \boxed{}.

Examples:
  06"61 = 57
  19"33 = 321
  43|44 = 01
  16|87 = 71
  99"96 = 761

The inputs are 06, 61, 19, 33, 43, 44, 16, 87, 99, 96

The outputs are 57, 321, 01, 71, 761
No outputs have a symbol prefix or suffix.

Looking at the input of the examples
06"61 -> "
19"33 -> "
43|44 -> |
16|87 -> |
99"96 -> "

The operators
"
|

Looking at the question
88"96 -> "
The question operator is found in the examples.

Looking at operator 【"】 [06"61 = 57, 19"33 = 321, 99"96 = 761]:
  Trying common operations reversed operands [06->60 61->16, 19->91 33->33, 99->99 96->69] and reversed result [expected (60,16)->57, (91,33)->321, (99,69)->761]:
    concatenation f(60, 16) = 60 || 16 = 6016 -rev-> 6106 wrong
    reverse concatenation f(91, 33) = 33 || 91 = 3391 -rev-> 1933 wrong
    addition f(99, 69) = 99 + 69 = 168 -rev-> 861 wrong
    absolute difference f(60, 16) = |60 - 16| = 44 -rev-> 44 wrong
    negated absolute difference f(91, 33) = -|91 - 33| = -58 -rev-> -85 wrong
    subtraction (a-b) f(99, 69) = 99 - 69 = 30 -rev-> 03 wrong
    reverse subtraction (b-a) f(60, 16) = 16 - 60 = -44 -rev-> -44 wrong
    multiplication f(91, 33) = (90 + 1) * 33 = 90 * 33 + 1 * 33 = 2970 + 33 = 3003 -rev-> 3003 wrong
  Trying common operations on identity [06 61, 19 33, 99 96] [expected (06,61)->57, (19,33)->321, (99,96)->761]:
    concatenation f(06, 61) = 06 || 61 = 0661 wrong
    reverse concatenation f(19, 33) = 33 || 19 = 3319 wrong
    addition f(99, 96) = 99 + 96 = 195 wrong
    absolute difference f(06, 61) = |06 - 61| = 55 wrong
    negated absolute difference f(19, 33) = -|19 - 33| = -14 wrong
    subtraction (a-b) f(99, 96) = 99 - 96 = 3 wrong
    reverse subtraction (b-a) f(06, 61) = 61 - 06 = 55 wrong
    multiplication f(19, 33) = (10 + 9) * 33 = 10 * 33 + 9 * 33 = 330 + 297 = 627 wrong
  Trying common operations reversed operands [06->60 61->16, 19->91 33->33, 99->99 96->69] [expected (60,16)->57, (91,33)->321, (99,69)->761]:
    concatenation f(60, 16) = 60 || 16 = 6016 wrong
    reverse concatenation f(91, 33) = 33 || 91 = 3391 wrong
    addition f(99, 69) = 99 + 69 = 168 wrong
    absolute difference f(60, 16) = |60 - 16| = 44 wrong
    negated absolute difference f(91, 33) = -|91 - 33| = -58 wrong
    subtraction (a-b) f(99, 69) = 99 - 69 = 30 wrong
    reverse subtraction (b-a) f(60, 16) = 16 - 60 = -44 wrong
    multiplication f(91, 33) = (90 + 1) * 33 = 90 * 33 + 1 * 33 = 2970 + 33 = 3003 wrong
  Trying common operations identity operands [06 61, 19 33, 99 96] reversed result [expected (06,61)->57, (19,33)->321, (99,96)->761]:
    concatenation f(06, 61) = 06 || 61 = 0661 -rev-> 1660 wrong
    reverse concatenation f(19, 33) = 33 || 19 = 3319 -rev-> 9133 wrong
    addition f(99, 96) = 99 + 96 = 195 -rev-> 591 wrong
    absolute difference f(06, 61) = |06 - 61| = 55 -rev-> 55 wrong
    negated absolute difference f(19, 33) = -|19 - 33| = -14 -rev-> -41 wrong
    subtraction (a-b) f(99, 96) = 99 - 96 = 3 -rev-> 3 wrong
    reverse subtraction (b-a) f(06, 61) = 61 - 06 = 55 -rev-> 55 wrong
    multiplication f(19, 33) = (10 + 9) * 33 = 10 * 33 + 9 * 33 = 330 + 297 = 627 -rev-> 726 wrong
  Trying rare operations reversed operands [06->60 61->16, 19->91 33->33, 99->99 96->69] and reversed result [expected (60,16)->57, (91,33)->321, (99,69)->761]:
    multiply+1 f(60, 16) = (60 + 0) * 16 + 1 = 60 * 16 + 0 * 16 + 1 = 960 + 0 + 1 = 960 + 1 = 961 -rev-> 169 wrong
    multiply-1 f(91, 33) = (90 + 1) * 33 - 1 = 90 * 33 + 1 * 33 - 1 = 2970 + 33 - 1 = 3003 - 1 = 3002 -rev-> 2003 wrong
    add+1 f(99, 69) = 99 + 69 + 1 = 169 -rev-> 961 wrong
    add-1 f(60, 16) = 60 + 16 - 1 = 75 -rev-> 57 match, f(91,33) -> 91 + 33 - 1 = 123 -rev-> 321 match, f(99,69) -> 99 + 69 - 1 = 167 -rev-> 761 match, correct, actions: reversed operands, reversed result, add-1
    sub+1 f(91, 33) = 91 - 33 + 1 = 59 -rev-> 95 wrong
    sub-1 f(99, 69) = 99 - 69 - 1 = 29 -rev-> 92 wrong
    max mod min f(60, 16) = max(60,16) mod min(60,16) = 60 mod 16 = 12 -rev-> 21 wrong
    integer division (a/b) f(91, 33) = 91 / 33 = 2 -rev-> 2 wrong
    modulo (a mod b) f(99, 69) = 99 mod 69 = 30 -rev-> 03 wrong
    reverse division (b/a) f(60, 16) = 16 / 60 = 0 -rev-> 0 wrong
    reverse modulo (b mod a) f(91, 33) = 33 mod 91 = 33 -rev-> 33 wrong
    digit absolute diff f(99, 69) = |9-6| || |9-9| = 30 -rev-> 03 wrong
    digit add mod10 f(60, 16) = (6+1)%10 || (0+6)%10 = 76 -rev-> 67 wrong
