We need to infer the transformation rule from the examples.
I will put my final answer inside \boxed{}.

Examples:
  90@12 = 9012
  99@42 = 9942
  88<41 = 3609
  74<61 = 4515
  64<35 = 2241

The inputs are 90, 12, 99, 42, 88, 41, 74, 61, 64, 35

The outputs are 9012, 9942, 3609, 4515, 2241
No outputs have a symbol prefix or suffix.

Looking at the input of the examples
90@12 -> @
99@42 -> @
88<41 -> <
74<61 -> <
64<35 -> <

The operators
@
<

Looking at the question
53:99 -> :
The question operator is not found in the examples. Investigating the most common example operator 【<】 instead. We will use absolute difference for the question operator.

Looking at operator 【<】 [88<41 = 3609, 74<61 = 4515, 64<35 = 2241]:
  Trying common operations reversed operands [88->88 41->14, 74->47 61->16, 64->46 35->53] and reversed result [expected (88,14)->3609, (47,16)->4515, (46,53)->2241]:
    concatenation f(88, 14) = 88 || 14 = 8814 -rev-> 4188 wrong
    reverse concatenation f(47, 16) = 16 || 47 = 1647 -rev-> 7461 wrong
    addition f(46, 53) = 46 + 53 = 99 -rev-> 99 wrong
    absolute difference f(88, 14) = |88 - 14| = 74 -rev-> 47 wrong
    negated absolute difference f(47, 16) = -|47 - 16| = -31 -rev-> -13 wrong
    subtraction (a-b) f(46, 53) = 46 - 53 = -7 -rev-> -7 wrong
    reverse subtraction (b-a) f(88, 14) = 14 - 88 = -74 -rev-> -47 wrong
    multiplication f(47, 16) = (40 + 7) * 16 = 40 * 16 + 7 * 16 = 640 + 112 = 752 -rev-> 257 wrong
  Trying common operations on identity [88 41, 74 61, 64 35] [expected (88,41)->3609, (74,61)->4515, (64,35)->2241]:
    concatenation f(88, 41) = 88 || 41 = 8841 wrong
    reverse concatenation f(74, 61) = 61 || 74 = 6174 wrong
    addition f(64, 35) = 64 + 35 = 99 wrong
    absolute difference f(88, 41) = |88 - 41| = 47 wrong
    negated absolute difference f(74, 61) = -|74 - 61| = -13 wrong
    subtraction (a-b) f(64, 35) = 64 - 35 = 29 wrong
    reverse subtraction (b-a) f(88, 41) = 41 - 88 = -47 wrong
    multiplication f(74, 61) = (70 + 4) * 61 = 70 * 61 + 4 * 61 = 4270 + 244 = 4514 wrong
  Trying common operations reversed operands [88->88 41->14, 74->47 61->16, 64->46 35->53] [expected (88,14)->3609, (47,16)->4515, (46,53)->2241]:
    concatenation f(88, 14) = 88 || 14 = 8814 wrong
    reverse concatenation f(47, 16) = 16 || 47 = 1647 wrong
    addition f(46, 53) = 46 + 53 = 99 wrong
    absolute difference f(88, 14) = |88 - 14| = 74 wrong
    negated absolute difference f(47, 16) = -|47 - 16| = -31 wrong
    subtraction (a-b) f(46, 53) = 46 - 53 = -7 wrong
    reverse subtraction (b-a) f(88, 14) = 14 - 88 = -74 wrong
    multiplication f(47, 16) = (40 + 7) * 16 = 40 * 16 + 7 * 16 = 640 + 112 = 752 wrong
